,Filename,Flowrate,SaPerm,MgPerm,MajorAnisotropy,MinAnisotropy,MagnesitePercentageInitial,SandPercentageInitial,MagnesitePercentageInitial.1,SandPercentageInitial.1,Porosity,OveralRate(mol/L/s),OveralRate(mol/s),AveragePorosity,pH,poriosity_change,kratio
1404,9010/50&10@3,5,1.00E-13,1.00E-12,50,10,0.1,0.9,0.10955,0.89045,0.35,-3.14E-08,-4.40E-09,35.0015045,8,0.0015045,1.00E+01
494,8020/100&10@4,5,1.00E-12,1.00E-13,100,10,0.2,0.8,0.233325,0.766675,0.35,-2.11E-08,-2.95E-09,35.0010066,8,0.0010066,1.00E-01
3088,73/10&10@3,5,1.00E-12,1.00E-13,10,10,0.3,0.7,0.321475,0.678525,0.35,-3.24E-08,-4.54E-09,35.0017289,6,0.0017289,1.00E-01
2487,73mg/1&1@2,5,1.00E-13,1.00E-12,1,1,0.3,0.7,0.29795,0.70205,0.35,-4.11E-08,-5.75E-09,35.0022135,4,0.0022135,1.00E+01
1019,6040/50&1@4,5,1.00E-13,1.00E-12,50,1,0.4,0.6,0.4255,0.5745,0.35,-3.17E-08,-4.44E-09,35.001575,8,0.001575,1.00E+01
91,50%50%/20&1@10,5,1.00E-12,1.00E-13,20,1,0.5,0.5,0.50475,0.49525,0.35,-3.20E-08,-4.48E-09,35.0015715,8,0.0015715,1.00E-01
1112,7030/100&20@7,5,1.00E-13,1.00E-12,100,20,0.3,0.7,0.25575,0.74425,0.35,-3.16E-08,-4.42E-09,35.0015307,8,0.0015307,1.00E+01
3285,73same/20&20@5,5,1.00E-13,1.00E-13,20,20,0.3,0.7,0.25095,0.74905,0.35,-3.33E-08,-4.66E-09,35.0017162,6,0.0017162,1.00E+00
908,6040/10&10@3,5,1.00E-13,1.00E-12,10,10,0.4,0.6,0.40535,0.59465,0.35,-3.16E-08,-4.42E-09,35.001575,8,0.001575,1.00E+01
1474,50%50%/100&100@7,5,1.00E-13,1.00E-13,100,100,0.5,0.5,0.318625,0.681375,0.35,-3.53E-08,-4.94E-09,35.0015078,8,0.0015078,1.00E+00
1741,70%30%/1&1@4,5,1.00E-13,1.00E-13,1,1,0.3,0.7,0.3007,0.6993,0.35,-3.63E-08,-5.08E-09,35.0015766,8,0.0015766,1.00E+00
2150,90%10%/50&10@3,5,1.00E-13,1.00E-13,50,10,0.1,0.9,0.10955,0.89045,0.35,-2.88E-08,-4.03E-09,35.0012158,8,0.0012158,1.00E+00
238,6040/20&10@8,5,1.00E-12,1.00E-13,20,10,0.4,0.6,0.322725,0.677275,0.35,-3.20E-08,-4.48E-09,35.0015403,8,0.0015403,1.00E-01
3508,91same/20&20@3,5,1.00E-13,1.00E-13,20,20,0.1,0.9,0.11235,0.88765,0.35,-3.46E-08,-4.84E-09,35.0016033,6,0.0016033,1.00E+00
